region;EU_objective_value;region_total_cost;region_operational_cost
NL;5.904102577528185e7;2.125076470167778e6;439474.59954301507
BE;5.904102577528185e7;1.5781566246675279e6;250800.32077636343
DE;5.904102577528185e7;9.280073490346706e6;1.800232076798472e6
FR;5.904102577528185e7;7.236188001545838e6;550610.2121390025
LU;5.904102577528185e7;104362.22140107298;12116.983278732687
CH;5.904102577528185e7;1.2441930508268087e6;468139.60856329085
UK;5.904102577528185e7;4.486461505204792e6;239549.9603889032
DK;5.904102577528185e7;655988.4576650338;0.0
NO;5.904102577528185e7;1.9726677992149224e6;0.0
IE;5.904102577528185e7;458600.4647321483;0.0
SE;5.904102577528185e7;2.4909783263538117e6;422458.6939085193
AT;5.904102577528185e7;1.704557808916368e6;155584.51166020177
CZ;5.904102577528185e7;943682.7678428531;103758.20869531228
PL;5.904102577528185e7;2.61948684639247e6;418682.03872145526
ES;5.904102577528185e7;5.789004242057534e6;1.0804658088293239e6
IT;5.904102577528185e7;7.919973321922742e6;2.8624601384802028e6
LT;5.904102577528185e7;150527.2810071962;51259.467852651906
FI;5.904102577528185e7;1.9396669087513827e6;236872.19932703182
SI;5.904102577528185e7;192456.76617865413;23934.850884126947
HU;5.904102577528185e7;1.173788791367274e6;422273.424083037
SK;5.904102577528185e7;204555.54056221485;0.0
PT;5.904102577528185e7;1.2112172068280356e6;175587.63012761177
HR;5.904102577528185e7;348136.0333755493;12004.839
RO;5.904102577528185e7;1.0891081321376842e6;132865.4944462786
GR;5.904102577528185e7;975773.8394782336;192859.81865278404
LV;5.904102577528185e7;104284.23299155408;44976.08189258679
EE;5.904102577528185e7;91488.54826894731;11828.123999999998
MT;5.904102577528185e7;112791.87819065142;0.0
CY;5.904102577528185e7;75619.02401043057;0.0
BG;5.904102577528185e7;747566.6713820907;75333.23238472884
EU-Non-NL;5.904102577528185e7;5.690135578362067e7;9.74465372489077e6
