id,from_asset,to_asset,year,rep_period,time_block_start,time_block_end,var_flow_id,dual_max_transport_flow_limit_simple_method,dual_min_transport_flow_limit_simple_method
1,NL_Balance,NO_Balance,2030,1,1,1,4465,0.0,-0.0
2,NL_Balance,NO_Balance,2030,1,2,2,4466,0.0,0.0
3,NL_Balance,NO_Balance,2030,1,3,3,4467,0.0,-0.0
4,NL_Balance,NO_Balance,2030,1,4,4,4468,0.0,0.0
5,NL_Balance,NO_Balance,2030,1,5,5,4469,0.0,0.0
6,NL_Balance,NO_Balance,2030,1,6,6,4470,0.0,0.0
7,NL_Balance,NO_Balance,2030,1,7,7,4471,-0.9539999999999997,0.0
8,NL_Balance,NO_Balance,2030,1,8,8,4472,-0.9539999999999997,0.0
9,NL_Balance,NO_Balance,2030,1,9,9,4473,0.0,0.0
10,NL_Balance,NO_Balance,2030,1,10,10,4474,0.0,0.0
11,NL_Balance,NO_Balance,2030,1,11,11,4475,0.0,0.0
12,NL_Balance,NO_Balance,2030,1,12,12,4476,-0.24780000000000513,0.0
13,NL_Balance,NO_Balance,2030,1,13,13,4477,0.0,0.0
14,NL_Balance,NO_Balance,2030,1,14,14,4478,0.0,0.0
15,NL_Balance,NO_Balance,2030,1,15,15,4479,0.0,0.0
16,NL_Balance,NO_Balance,2030,1,16,16,4480,0.0,0.0
17,NL_Balance,NO_Balance,2030,1,17,17,4481,0.0,0.0
18,NL_Balance,NO_Balance,2030,1,18,18,4482,0.0,0.0
19,NL_Balance,NO_Balance,2030,1,19,19,4483,0.0,0.0
20,NL_Balance,NO_Balance,2030,1,20,20,4484,0.0,0.0
21,NL_Balance,NO_Balance,2030,1,21,21,4485,0.0,0.0
22,NL_Balance,NO_Balance,2030,1,22,22,4486,0.0,0.0
23,NL_Balance,NO_Balance,2030,1,23,23,4487,0.0,-0.0
24,NL_Balance,NO_Balance,2030,1,24,24,4488,0.0,0.0
25,NL_Balance,DK_Balance,2030,1,1,1,4489,0.0,0.0
26,NL_Balance,DK_Balance,2030,1,2,2,4490,0.0,-0.0
27,NL_Balance,DK_Balance,2030,1,3,3,4491,0.0,0.0
28,NL_Balance,DK_Balance,2030,1,4,4,4492,0.0,0.0
29,NL_Balance,DK_Balance,2030,1,5,5,4493,0.0,0.0
30,NL_Balance,DK_Balance,2030,1,6,6,4494,0.0,0.0
31,NL_Balance,DK_Balance,2030,1,7,7,4495,-0.9539999999999997,0.0
32,NL_Balance,DK_Balance,2030,1,8,8,4496,-0.9539999999999997,0.0
33,NL_Balance,DK_Balance,2030,1,9,9,4497,0.0,0.0
34,NL_Balance,DK_Balance,2030,1,10,10,4498,0.0,0.0
35,NL_Balance,DK_Balance,2030,1,11,11,4499,0.0,0.0
36,NL_Balance,DK_Balance,2030,1,12,12,4500,-0.24780000000000513,0.0
37,NL_Balance,DK_Balance,2030,1,13,13,4501,0.0,0.0
38,NL_Balance,DK_Balance,2030,1,14,14,4502,0.0,0.0
39,NL_Balance,DK_Balance,2030,1,15,15,4503,-0.09359999999999946,0.0
40,NL_Balance,DK_Balance,2030,1,16,16,4504,-0.09359999999999946,0.0
41,NL_Balance,DK_Balance,2030,1,17,17,4505,0.0,0.0
42,NL_Balance,DK_Balance,2030,1,18,18,4506,-0.5823000000000005,0.0
43,NL_Balance,DK_Balance,2030,1,19,19,4507,-0.37169999999999925,0.0
44,NL_Balance,DK_Balance,2030,1,20,20,4508,-0.3717000000000006,0.0
45,NL_Balance,DK_Balance,2030,1,21,21,4509,0.0,0.0
46,NL_Balance,DK_Balance,2030,1,22,22,4510,0.0,0.0
47,NL_Balance,DK_Balance,2030,1,23,23,4511,0.0,0.0
48,NL_Balance,DK_Balance,2030,1,24,24,4512,0.0,0.0
49,NL_Balance,UK_Balance,2030,1,1,1,4513,0.0,0.9381
50,NL_Balance,UK_Balance,2030,1,2,2,4514,0.0,0.9381
51,NL_Balance,UK_Balance,2030,1,3,3,4515,0.0,0.9381
52,NL_Balance,UK_Balance,2030,1,4,4,4516,0.0,0.9381
53,NL_Balance,UK_Balance,2030,1,5,5,4517,0.0,1.749
54,NL_Balance,UK_Balance,2030,1,6,6,4518,0.0,1.749
55,NL_Balance,UK_Balance,2030,1,7,7,4519,0.0,1.749
56,NL_Balance,UK_Balance,2030,1,8,8,4520,0.0,-0.0
57,NL_Balance,UK_Balance,2030,1,9,9,4521,0.0,-0.0
58,NL_Balance,UK_Balance,2030,1,10,10,4522,0.0,-0.0
59,NL_Balance,UK_Balance,2030,1,11,11,4523,0.0,0.0
60,NL_Balance,UK_Balance,2030,1,12,12,4524,0.0,0.0
61,NL_Balance,UK_Balance,2030,1,13,13,4525,0.0,-0.0
62,NL_Balance,UK_Balance,2030,1,14,14,4526,0.0,-0.0
