id,asset,milestone_year,investment_integer,capacity,investment_limit,solution
1,NL_Solar,2030,true,18.0,,-0.0
2,NL_Wind_Onshore,2030,true,49.0,,497.0
3,NL_Wind_Offshore,2030,true,49.0,,-0.0
4,NL_Coal,2030,true,824.0,,6.0
5,NL_Nuclear,2030,true,2095.0,,-0.0
6,NL_CCGT,2030,true,357.0,,9.0
7,NL_OCGT,2030,true,357.0,,-0.0
8,NL_Battery,2030,false,100.0,,0.0
9,BE_Solar,2030,true,18.0,,431.0
10,BE_Wind_Onshore,2030,true,49.0,,380.0
11,BE_Coal,2030,true,824.0,,4.0
12,BE_Nuclear,2030,true,2095.0,,-0.0
13,BE_CCGT,2030,true,357.0,,2.0
14,BE_OCGT,2030,true,357.0,,1.0
15,BE_Battery,2030,false,100.0,,0.0
16,DE_Solar,2030,true,18.0,,2730.0
17,DE_Wind_Offshore,2030,true,49.0,,-0.0
18,DE_Coal,2030,true,824.0,,23.0
19,DE_Nuclear,2030,true,2095.0,,-0.0
20,DE_CCGT,2030,true,357.0,,17.0
21,DE_OCGT,2030,true,357.0,,15.0
22,DE_Battery,2030,false,100.0,,18.679339928476438
23,FR_Wind_Onshore,2030,true,49.0,,2316.0
24,FR_Wind_Offshore,2030,true,49.0,,-0.0
25,FR_Coal,2030,true,824.0,,7.0
26,FR_Nuclear,2030,true,2095.0,,-0.0
27,FR_OCGT,2030,true,357.0,,-0.0
28,FR_Battery,2030,false,100.0,,20.68592739559157
29,LU_Solar,2030,true,18.0,,96.0
30,LU_Wind_Onshore,2030,true,49.0,,-0.0
31,LU_Wind_Offshore,2030,true,49.0,,-0.0
32,LU_Coal,2030,true,824.0,,-0.0
33,LU_Nuclear,2030,true,2095.0,,-0.0
34,LU_CCGT,2030,true,357.0,,3.0
35,LU_OCGT,2030,true,357.0,,-0.0
36,LU_Battery,2030,false,100.0,,0.0
37,CH_Solar,2030,true,18.0,,567.0
38,CH_Wind_Onshore,2030,true,49.0,,36.0
39,CH_Wind_Offshore,2030,true,49.0,,-0.0
40,CH_Coal,2030,true,824.0,,6.0
41,CH_Nuclear,2030,true,2095.0,,-0.0
42,CH_OCGT,2030,true,357.0,,4.0
43,UK_Solar,2030,true,18.0,,-0.0
44,UK_Coal,2030,true,824.0,,-0.0
45,UK_Nuclear,2030,true,2095.0,,-0.0
46,UK_CCGT,2030,true,357.0,,12.0
47,UK_OCGT,2030,true,357.0,,11.0
48,UK_Battery,2030,false,100.0,,14.656177793538355
49,DK_Solar,2030,true,18.0,,-0.0
50,DK_Coal,2030,true,824.0,,-0.0
51,DK_Nuclear,2030,true,2095.0,,-0.0
52,DK_OCGT,2030,true,357.0,,-0.0
53,DK_Battery,2030,false,100.0,,0.0
54,NO_Solar,2030,true,18.0,,-0.0
55,NO_Wind_Onshore,2030,true,49.0,,839.0
56,NO_Wind_Offshore,2030,true,49.0,,-0.0
57,NO_Nuclear,2030,true,2095.0,,-0.0
58,NO_CCGT,2030,true,357.0,,-0.0
59,NO_OCGT,2030,true,357.0,,-0.0
60,NO_Battery,2030,false,100.0,,0.0
61,IE_Wind_Offshore,2030,true,49.0,,-0.0
62,IE_Coal,2030,true,824.0,,-0.0
63,IE_Nuclear,2030,true,2095.0,,-0.0
64,IE_CCGT,2030,true,357.0,,-0.0
65,IE_OCGT,2030,true,357.0,,-0.0
66,SE_Wind_Onshore,2030,true,49.0,,745.0
67,SE_Coal,2030,true,824.0,,-0.0
68,SE_Nuclear,2030,true,2095.0,,-0.0
69,SE_CCGT,2030,true,357.0,,24.0
70,SE_OCGT,2030,true,357.0,,-0.0
71,SE_Battery,2030,false,100.0,,0.0
72,AT_Solar,2030,true,18.0,,-0.0
73,AT_Wind_Onshore,2030,true,49.0,,584.0
74,AT_Wind_Offshore,2030,true,49.0,,-0.0
75,AT_Coal,2030,true,824.0,,2.0
76,AT_Nuclear,2030,true,2095.0,,-0.0
77,AT_CCGT,2030,true,357.0,,2.0
78,AT_OCGT,2030,true,357.0,,8.0
79,AT_Battery,2030,false,100.0,,0.0
80,CZ_Solar,2030,true,18.0,,186.0
81,CZ_Wind_Offshore,2030,true,49.0,,-0.0
82,CZ_Nuclear,2030,true,2095.0,,-0.0
83,CZ_CCGT,2030,true,357.0,,3.0
84,CZ_OCGT,2030,true,357.0,,0.0
85,CZ_Battery,2030,false,100.0,,3.0568625756809524
86,PL_Solar,2030,true,18.0,,563.0
87,PL_Wind_Onshore,2030,true,49.0,,640.0
88,PL_Wind_Offshore,2030,true,49.0,,-0.0
89,PL_Coal,2030,true,824.0,,6.0
90,PL_Nuclear,2030,true,2095.0,,-0.0
91,PL_OCGT,2030,true,357.0,,-0.0
92,PL_Battery,2030,false,100.0,,0.0
93,ES_Solar,2030,true,18.0,,1160.0
94,ES_Wind_Onshore,2030,true,49.0,,1292.0
95,ES_Wind_Offshore,2030,true,49.0,,-0.0
