region;EU_objective_value;region_total_cost;region_operational_cost
NL;5.8305193428388275e7;2.0627910895989705e6;422616.013687057
BE;5.8305193428388275e7;1.572598116189091e6;251478.5806570471
DE;5.8305193428388275e7;9.245563684037326e6;1.7351976089100821e6
FR;5.8305193428388275e7;7.120199656457144e6;490717.15051019134
LU;5.8305193428388275e7;109210.86398386111;12089.448004610302
CH;5.8305193428388275e7;1.213934045710917e6;527679.9571681172
UK;5.8305193428388275e7;4.446428494309669e6;257289.310497151
DK;5.8305193428388275e7;630125.1134598554;3.837246334296653e-6
NO;5.8305193428388275e7;1.951506881249825e6;2.4097237698242687e-5
IE;5.8305193428388275e7;442028.06468185567;1.8678753557560423e-5
SE;5.8305193428388275e7;2.535209391776201e6;446559.60872526345
AT;5.8305193428388275e7;1.706781897952342e6;202084.68111229266
CZ;5.8305193428388275e7;930301.721085751;100605.63886052805
PL;5.8305193428388275e7;2.5759959249480264e6;340366.05232366046
ES;5.8305193428388275e7;5.720357123798567e6;1.1269113110598212e6
IT;5.8305193428388275e7;7.837919637068138e6;2.857862653068281e6
LT;5.8305193428388275e7;37967.274306686995;4.674390950640374e-6
FI;5.8305193428388275e7;1.9184561920911823e6;253297.55752882842
SI;5.8305193428388275e7;274746.2865527853;39882.40940529795
HU;5.8305193428388275e7;1.0752304217422109e6;354956.91861576244
SK;5.8305193428388275e7;204555.54056740596;5.1910981795117566e-6
PT;5.8305193428388275e7;1.1475385372697066e6;141039.04978605083
HR;5.8305193428388275e7;325619.5943718721;10131.660006733286
RO;5.8305193428388275e7;1.0499093016133604e6;173107.86432960557
GR;5.8305193428388275e7;958591.2579292625;161814.79835954285
LV;5.8305193428388275e7;118366.87489910985;45653.930037191494
EE;5.8305193428388275e7;96089.25383412899;9009.305909487684
MT;5.8305193428388275e7;78117.88105719612;8.099168662965899e-6
CY;5.8305193428388275e7;117158.74736406462;25258.46400704572
BG;5.8305193428388275e7;787301.0369882163;79849.96069927544
EU-Non-NL;5.8305193428388275e7;5.622780881729571e7;9.64284391964639e6
