id,asset,milestone_year,investment_integer_storage_energy,capacity_storage_energy,investment_limit_storage_energy,solution
1,NL_Battery,2030,false,1000.0,,0.023648561876226267
2,BE_Battery,2030,false,1000.0,,0.2042398581786756
3,DE_Battery,2030,false,1000.0,,0.0
4,FR_Battery,2030,false,1000.0,,0.0
5,LU_Battery,2030,false,1000.0,,0.0
6,CH_Battery,2030,false,1000.0,,0.031112821512304437
7,UK_Battery,2030,false,1000.0,,0.25533132036461026
8,DK_Battery,2030,false,1000.0,,0.0
9,NO_Battery,2030,false,1000.0,,0.0
10,IE_Battery,2030,false,1000.0,,0.05991667548134137
11,SE_Battery,2030,false,1000.0,,0.0
12,AT_Battery,2030,false,1000.0,,0.0
13,CZ_Battery,2030,false,1000.0,,0.0028475500566146365
14,PL_Battery,2030,false,1000.0,,0.0
15,ES_Battery,2030,false,1000.0,,1.1238862791698812
16,IT_Battery,2030,false,1000.0,,1.2494157618344839
17,LT_Battery,2030,false,1000.0,,0.0
18,FI_Battery,2030,false,1000.0,,0.1864198930948005
19,SI_Battery,2030,false,1000.0,,0.0
20,HU_Battery,2030,false,1000.0,,0.009985329467290284
21,SK_Battery,2030,false,1000.0,,0.0
22,PT_Battery,2030,false,1000.0,,0.01139021878819949
23,HR_Battery,2030,false,1000.0,,0.012638433354435619
24,RO_Battery,2030,false,1000.0,,0.0
25,GR_Battery,2030,false,1000.0,,0.0
26,LV_Battery,2030,false,1000.0,,0.0
27,EE_Battery,2030,false,1000.0,,0.0
28,MT_Battery,2030,false,1000.0,,2.4065879868947406
29,CY_Battery,2030,false,1000.0,,0.05971816222498478
30,BG_Battery,2030,false,1000.0,,0.0028598368458387993
