id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_hub
1,AT_Balance,2030,1,1,1,0.9381
2,AT_Balance,2030,1,2,2,0.9381
3,AT_Balance,2030,1,3,3,0.9381
4,AT_Balance,2030,1,4,4,0.9381
5,AT_Balance,2030,1,5,5,1.749
6,AT_Balance,2030,1,6,6,1.749
7,AT_Balance,2030,1,7,7,2.703
8,AT_Balance,2030,1,8,8,2.703
9,AT_Balance,2030,1,9,9,1.749
10,AT_Balance,2030,1,10,10,1.749
11,AT_Balance,2030,1,11,11,0.9381
12,AT_Balance,2030,1,12,12,1.749
13,AT_Balance,2030,1,13,13,1.749
14,AT_Balance,2030,1,14,14,1.749
15,AT_Balance,2030,1,15,15,0.9381
16,AT_Balance,2030,1,16,16,0.9381
17,AT_Balance,2030,1,17,17,1.749
18,AT_Balance,2030,1,18,18,1.749
19,AT_Balance,2030,1,19,19,2.703
20,AT_Balance,2030,1,20,20,2.703
21,AT_Balance,2030,1,21,21,2.703
22,AT_Balance,2030,1,22,22,0.9380999999999999
23,AT_Balance,2030,1,23,23,0.9381
24,AT_Balance,2030,1,24,24,0.9381
25,AT_Balance,2030,2,1,1,0.0
26,AT_Balance,2030,2,2,2,0.0
27,AT_Balance,2030,2,3,3,0.0
28,AT_Balance,2030,2,4,4,0.0
29,AT_Balance,2030,2,5,5,0.0
30,AT_Balance,2030,2,6,6,0.0
31,AT_Balance,2030,2,7,7,0.0
32,AT_Balance,2030,2,8,8,0.0
33,AT_Balance,2030,2,9,9,0.0
34,AT_Balance,2030,2,10,10,0.0
35,AT_Balance,2030,2,11,11,0.0
36,AT_Balance,2030,2,12,12,0.0
37,AT_Balance,2030,2,13,13,0.0
38,AT_Balance,2030,2,14,14,0.0
39,AT_Balance,2030,2,15,15,0.0
40,AT_Balance,2030,2,16,16,0.0
41,AT_Balance,2030,2,17,17,0.0
42,AT_Balance,2030,2,18,18,0.0
43,AT_Balance,2030,2,19,19,0.0
44,AT_Balance,2030,2,20,20,0.0
45,AT_Balance,2030,2,21,21,0.0
46,AT_Balance,2030,2,22,22,0.0
47,AT_Balance,2030,2,23,23,0.0
48,AT_Balance,2030,2,24,24,0.0
49,AT_Balance,2030,3,1,1,1.1570999999999998
50,AT_Balance,2030,3,2,2,1.1570999999999998
51,AT_Balance,2030,3,3,3,0.5133
52,AT_Balance,2030,3,4,4,0.5133
53,AT_Balance,2030,3,5,5,1.1570999999999998
54,AT_Balance,2030,3,6,6,1.1570999999999998
55,AT_Balance,2030,3,7,7,1.4789999999999999
56,AT_Balance,2030,3,8,8,1.4789999999999999
57,AT_Balance,2030,3,9,9,1.4789999999999999
58,AT_Balance,2030,3,10,10,1.4789999999999999
59,AT_Balance,2030,3,11,11,0.5133
60,AT_Balance,2030,3,12,12,0.5133
61,AT_Balance,2030,3,13,13,1.2954197937122167
62,AT_Balance,2030,3,14,14,1.2954197937122167
63,AT_Balance,2030,3,15,15,1.4789999999999999
64,AT_Balance,2030,3,16,16,1.4789999999999999
65,AT_Balance,2030,3,17,17,1.662580206287783
66,AT_Balance,2030,3,18,18,3.693098968561081
67,AT_Balance,2030,3,19,19,3.6930989685610816
68,AT_Balance,2030,3,20,20,1.662580206287783
69,AT_Balance,2030,3,21,21,1.4789999999999999
70,AT_Balance,2030,3,22,22,1.4789999999999999
71,AT_Balance,2030,3,23,23,0.9570000000000001
72,AT_Balance,2030,3,24,24,0.9570000000000001
73,AT_Balance,2030,4,1,1,0.4071
74,AT_Balance,2030,4,2,2,0.4071
75,AT_Balance,2030,4,3,3,0.4071
76,AT_Balance,2030,4,4,4,0.4071
77,AT_Balance,2030,4,5,5,0.4071
78,AT_Balance,2030,4,6,6,0.4071
79,AT_Balance,2030,4,7,7,0.4071
80,AT_Balance,2030,4,8,8,0.4071
81,AT_Balance,2030,4,9,9,0.4071
82,AT_Balance,2030,4,10,10,0.4071
83,AT_Balance,2030,4,11,11,0.4071
84,AT_Balance,2030,4,12,12,0.4071
85,AT_Balance,2030,4,13,13,0.4071
86,AT_Balance,2030,4,14,14,0.4071
87,AT_Balance,2030,4,15,15,0.4071
88,AT_Balance,2030,4,16,16,0.4071
89,AT_Balance,2030,4,17,17,0.4071
90,AT_Balance,2030,4,18,18,0.4071
91,AT_Balance,2030,4,19,19,0.4071
92,AT_Balance,2030,4,20,20,0.4071
93,AT_Balance,2030,4,21,21,0.4071
94,AT_Balance,2030,4,22,22,0.4071
95,AT_Balance,2030,4,23,23,0.4071
96,AT_Balance,2030,4,24,24,0.4071
97,AT_Balance,2030,5,1,1,0.0
98,AT_Balance,2030,5,2,2,0.0
99,AT_Balance,2030,5,3,3,0.0
100,AT_Balance,2030,5,4,4,0.0
101,AT_Balance,2030,5,5,5,0.0
102,AT_Balance,2030,5,6,6,0.0
103,AT_Balance,2030,5,7,7,0.0
104,AT_Balance,2030,5,8,8,0.0
105,AT_Balance,2030,5,9,9,0.0
106,AT_Balance,2030,5,10,10,0.0
107,AT_Balance,2030,5,11,11,0.0
108,AT_Balance,2030,5,12,12,0.0
109,AT_Balance,2030,5,13,13,0.0
110,AT_Balance,2030,5,14,14,0.0
111,AT_Balance,2030,5,15,15,0.0
112,AT_Balance,2030,5,16,16,0.0
113,AT_Balance,2030,5,17,17,0.0
114,AT_Balance,2030,5,18,18,0.0
115,AT_Balance,2030,5,19,19,0.0
116,AT_Balance,2030,5,20,20,0.0
117,AT_Balance,2030,5,21,21,0.0
118,AT_Balance,2030,5,22,22,0.0
119,AT_Balance,2030,5,23,23,0.0
120,AT_Balance,2030,5,24,24,0.0
121,AT_Balance,2030,6,1,1,0.3186
122,AT_Balance,2030,6,2,2,0.3186
123,AT_Balance,2030,6,3,3,0.3186
124,AT_Balance,2030,6,4,4,0.3186
125,AT_Balance,2030,6,5,5,0.3186
126,AT_Balance,2030,6,6,6,0.3186
127,AT_Balance,2030,6,7,7,0.3186
128,AT_Balance,2030,6,8,8,0.3186
129,AT_Balance,2030,6,9,9,0.1593
130,AT_Balance,2030,6,10,10,0.1593
131,AT_Balance,2030,6,11,11,0.0
132,AT_Balance,2030,6,12,12,0.0
133,AT_Balance,2030,6,13,13,0.0
134,AT_Balance,2030,6,14,14,0.0
135,AT_Balance,2030,6,15,15,0.1593
136,AT_Balance,2030,6,16,16,0.1593
137,AT_Balance,2030,6,17,17,0.3186
138,AT_Balance,2030,6,18,18,0.3186
139,AT_Balance,2030,6,19,19,0.3186
140,AT_Balance,2030,6,20,20,0.3186
141,AT_Balance,2030,6,21,21,0.3186
142,AT_Balance,2030,6,22,22,0.3186
143,AT_Balance,2030,6,23,23,0.0
144,AT_Balance,2030,6,24,24,0.0
145,AT_Balance,2030,7,1,1,0.6549
146,AT_Balance,2030,7,2,2,0.6549
147,AT_Balance,2030,7,3,3,0.6549
148,AT_Balance,2030,7,4,4,0.6549
149,AT_Balance,2030,7,5,5,0.08879999999999999
150,AT_Balance,2030,7,6,6,1.221
151,AT_Balance,2030,7,7,7,0.6549
152,AT_Balance,2030,7,8,8,0.6549
153,AT_Balance,2030,7,9,9,0.6549
154,AT_Balance,2030,7,10,10,0.6549
155,AT_Balance,2030,7,11,11,0.6549
156,AT_Balance,2030,7,12,12,0.6549
157,AT_Balance,2030,7,13,13,0.6549
158,AT_Balance,2030,7,14,14,0.6549
159,AT_Balance,2030,7,15,15,0.6549
160,AT_Balance,2030,7,16,16,0.6549
161,AT_Balance,2030,7,17,17,0.6549
162,AT_Balance,2030,7,18,18,0.6549
163,AT_Balance,2030,7,19,19,1.3097999999999999
164,AT_Balance,2030,7,20,20,1.3097999999999999
165,AT_Balance,2030,7,21,21,0.6549
166,AT_Balance,2030,7,22,22,0.6549
167,AT_Balance,2030,7,23,23,0.6549
168,AT_Balance,2030,7,24,24,0.6549
169,AT_Balance,2030,8,1,1,0.5487
170,AT_Balance,2030,8,2,2,0.5487
171,AT_Balance,2030,8,3,3,0.27435
172,AT_Balance,2030,8,4,4,0.27435
173,AT_Balance,2030,8,5,5,0.5487
174,AT_Balance,2030,8,6,6,0.5487
175,AT_Balance,2030,8,7,7,0.5487
176,AT_Balance,2030,8,8,8,0.5487
177,AT_Balance,2030,8,9,9,1.5475151094288502
178,AT_Balance,2030,8,10,10,0.5487
179,AT_Balance,2030,8,11,11,0.0
180,AT_Balance,2030,8,12,12,0.02663824569235196
181,AT_Balance,2030,8,13,13,0.0
182,AT_Balance,2030,8,14,14,0.0
183,AT_Balance,2030,8,15,15,0.27435000000000004
184,AT_Balance,2030,8,16,16,0.27435000000000004
185,AT_Balance,2030,8,17,17,0.5487
186,AT_Balance,2030,8,18,18,0.5487
187,AT_Balance,2030,8,19,19,0.5487
188,AT_Balance,2030,8,20,20,0.5487000000000002
189,AT_Balance,2030,8,21,21,0.5487
190,AT_Balance,2030,8,22,22,0.5487
191,AT_Balance,2030,8,23,23,0.5487
192,AT_Balance,2030,8,24,24,0.5487
193,AT_Balance,2030,9,1,1,0.0
194,AT_Balance,2030,9,2,2,0.0
195,AT_Balance,2030,9,3,3,0.0
196,AT_Balance,2030,9,4,4,0.0
197,AT_Balance,2030,9,5,5,0.0
198,AT_Balance,2030,9,6,6,0.0
199,AT_Balance,2030,9,7,7,0.7611
200,AT_Balance,2030,9,8,8,0.7611
201,AT_Balance,2030,9,9,9,0.7611
202,AT_Balance,2030,9,10,10,0.7611
203,AT_Balance,2030,9,11,11,0.7611
204,AT_Balance,2030,9,12,12,0.7611
205,AT_Balance,2030,9,13,13,1.5222
206,AT_Balance,2030,9,14,14,0.0
207,AT_Balance,2030,9,15,15,0.0
208,AT_Balance,2030,9,16,16,0.0
209,AT_Balance,2030,9,17,17,0.7611
210,AT_Balance,2030,9,18,18,0.7611
211,AT_Balance,2030,9,19,19,0.7611
212,AT_Balance,2030,9,20,20,0.7611
213,AT_Balance,2030,9,21,21,0.7611
214,AT_Balance,2030,9,22,22,0.7611
215,AT_Balance,2030,9,23,23,0.0
216,AT_Balance,2030,9,24,24,0.0
217,AT_Balance,2030,10,1,1,0.8142
218,AT_Balance,2030,10,2,2,0.8142
219,AT_Balance,2030,10,3,3,0.8142
220,AT_Balance,2030,10,4,4,0.8142
221,AT_Balance,2030,10,5,5,0.8142
222,AT_Balance,2030,10,6,6,0.8142
223,AT_Balance,2030,10,7,7,0.8142
224,AT_Balance,2030,10,8,8,1.518
225,AT_Balance,2030,10,9,9,1.4627761928704632
226,AT_Balance,2030,10,10,10,1.518
227,AT_Balance,2030,10,11,11,0.8142
228,AT_Balance,2030,10,12,12,0.8142
229,AT_Balance,2030,10,13,13,2.3459999999999996
230,AT_Balance,2030,10,14,14,0.8142
231,AT_Balance,2030,10,15,15,0.8142
232,AT_Balance,2030,10,16,16,0.8142
233,AT_Balance,2030,10,17,17,2.3459999999999996
