region;EU_objective_value;region_total_cost;region_operational_cost
NL;5.891028178155184e7;2.1383801918108934e6;436982.40555337095
BE;5.891028178155184e7;1.552689203997568e6;228601.1691693316
DE;5.891028178155184e7;9.293336451983973e6;1.812359745151462e6
FR;5.891028178155184e7;7.234339984959668e6;546728.6331732059
LU;5.891028178155184e7;107976.67793630231;15947.350649999998
CH;5.891028178155184e7;1.2303568342225086e6;488190.55769122404
UK;5.891028178155184e7;4.4841643253270695e6;231588.1168542079
DK;5.891028178155184e7;641881.1790055707;0.0
NO;5.891028178155184e7;1.989126290984296e6;0.0
IE;5.891028178155184e7;458486.5564325505;0.0
SE;5.891028178155184e7;2.512772196972019e6;418824.14736273536
AT;5.891028178155184e7;1.6801638702956946e6;153905.02147290332
CZ;5.891028178155184e7;949985.7186645503;107671.80657484493
PL;5.891028178155184e7;2.618635057194305e6;415633.0013767889
ES;5.891028178155184e7;5.76143971261527e6;1.117861231225699e6
IT;5.891028178155184e7;7.7892666230166955e6;2.943188751671452e6
LT;5.891028178155184e7;108916.95586471427;26404.93458406479
FI;5.891028178155184e7;1.9239349508342526e6;252255.90757808622
SI;5.891028178155184e7;187944.44822107366;21120.12
HU;5.891028178155184e7;1.0872351638871855e6;361503.0076304631
SK;5.891028178155184e7;178692.19635319916;0.0
PT;5.891028178155184e7;1.2446483021981257e6;211181.38462864934
HR;5.891028178155184e7;515597.4161988185;92382.41529079681
RO;5.891028178155184e7;1.0416343022106208e6;95406.58010501563
GR;5.891028178155184e7;941506.7655526304;149587.4804125169
LV;5.891028178155184e7;116936.76289677786;57628.61179781058
EE;5.891028178155184e7;90316.55415971947;20800.539368164096
MT;5.891028178155184e7;206424.04913346152;89125.03502901303
CY;5.891028178155184e7;71631.86667076984;0.0
BG;5.891028178155184e7;737267.6504580142;180911.12856632294
EU-Non-NL;5.891028178155184e7;5.675730806824748e7;1.0038806677364858e7
