id,from_asset,to_asset,year,rep_period,time_block_start,time_block_end,var_flow_id,dual_max_transport_flow_limit_simple_method,dual_min_transport_flow_limit_simple_method
1,NL_Balance,NO_Balance,2030,1,1,1,3021,0.0,0.0
2,NL_Balance,NO_Balance,2030,1,2,2,3022,0.0,0.0
3,NL_Balance,NO_Balance,2030,1,3,3,3023,0.0,0.0
4,NL_Balance,NO_Balance,2030,1,4,4,3024,0.0,0.0
5,NL_Balance,NO_Balance,2030,1,5,5,3025,0.0,0.0
6,NL_Balance,NO_Balance,2030,1,6,6,3026,0.0,0.0
7,NL_Balance,NO_Balance,2030,1,7,7,3027,-0.9539999999999997,0.0
8,NL_Balance,NO_Balance,2030,1,8,8,3028,0.0,0.0
9,NL_Balance,NO_Balance,2030,1,9,9,3029,0.0,0.0
10,NL_Balance,NO_Balance,2030,1,10,10,3030,0.0,0.0
11,NL_Balance,NO_Balance,2030,1,11,11,3031,-0.522450000000001,0.0
12,NL_Balance,NO_Balance,2030,1,12,12,3032,-0.986250000000001,0.0
13,NL_Balance,NO_Balance,2030,1,13,13,3033,0.0,0.0
14,NL_Balance,NO_Balance,2030,1,14,14,3034,0.0,0.0
15,NL_Balance,NO_Balance,2030,1,15,15,3035,0.0,0.0
16,NL_Balance,NO_Balance,2030,1,16,16,3036,0.0,-0.0
17,NL_Balance,NO_Balance,2030,1,17,17,3037,0.0,0.0
18,NL_Balance,NO_Balance,2030,1,18,18,3038,0.0,0.0
19,NL_Balance,NO_Balance,2030,1,19,19,3039,0.0,0.0
20,NL_Balance,NO_Balance,2030,1,20,20,3040,0.0,0.0
21,NL_Balance,NO_Balance,2030,1,21,21,3041,0.0,0.0
22,NL_Balance,NO_Balance,2030,1,22,22,3042,0.0,0.0
23,NL_Balance,NO_Balance,2030,1,23,23,3043,0.0,0.0
24,NL_Balance,NO_Balance,2030,1,24,24,3044,0.0,0.0
25,NL_Balance,DK_Balance,2030,1,1,1,3045,0.0,0.0
26,NL_Balance,DK_Balance,2030,1,2,2,3046,0.0,0.0
27,NL_Balance,DK_Balance,2030,1,3,3,3047,0.0,0.0
