region;EU_objective_value;region_total_cost;region_operational_cost
NL;5.8878253970716685e7;2.125542027664097e6;438251.52006603737
BE;5.8878253970716685e7;1.5624882741854447e6;231879.46333200147
DE;5.8878253970716685e7;9.31179356018376e6;1.838768588148231e6
FR;5.8878253970716685e7;7.20172169968098e6;537262.9730791285
LU;5.8878253970716685e7;149604.83361666786;41476.60201076339
CH;5.8878253970716685e7;1.2518253650530376e6;545149.9094857686
UK;5.8878253970716685e7;4.455955487477154e6;220195.22633678446
DK;5.8878253970716685e7;646588.8905272086;0.0
NO;5.8878253970716685e7;1.9821144171040615e6;0.0
IE;5.8878253970716685e7;451154.5049133911;0.0
SE;5.8878253970716685e7;2.4391786895583044e6;416998.85768390296
AT;5.8878253970716685e7;1.7833175190589165e6;182292.1754992525
CZ;5.8878253970716685e7;954609.3353545595;118429.42525043675
PL;5.8878253970716685e7;2.6210486108229896e6;391822.76218377706
ES;5.8878253970716685e7;5.769496641081982e6;1.0920426416796215e6
IT;5.8878253970716685e7;7.815449962881506e6;3.0480442893581693e6
LT;5.8878253970716685e7;130985.3389329832;17055.353700000003
FI;5.8878253970716685e7;1.9649206237449173e6;247711.51144510007
SI;5.8878253970716685e7;109813.07167687645;10771.261199999999
HU;5.8878253970716685e7;1.0372936982407547e6;299828.1849866838
SK;5.8878253970716685e7;198472.82490552025;0.0
PT;5.8878253970716685e7;1.2157046024574486e6;194870.1491784127
HR;5.8878253970716685e7;481259.7721671037;61078.03671823269
RO;5.8878253970716685e7;1.051634526425384e6;119007.25211803585
GR;5.8878253970716685e7;936954.0193163789;138008.0300690063
LV;5.8878253970716685e7;80056.84406702605;23630.214328133385
EE;5.8878253970716685e7;95737.55093476683;18850.134935758048
MT;5.8878253970716685e7;183921.577729757;66771.49364402684
CY;5.8878253970716685e7;97704.60533370853;3801.6215999999995
BG;5.8878253970716685e7;757311.5741264672;170255.22003274522
EU-Non-NL;5.8878253970716685e7;5.673811842155913e7;1.003600137800404e7
