id,asset,milestone_year,investment_integer,capacity,investment_limit,solution
1,NL_Solar,2030,true,18.0,,455.0
2,NL_Wind_Onshore,2030,true,49.0,,512.0
3,NL_Wind_Offshore,2030,true,49.0,,0.0
4,NL_Coal,2030,true,824.0,,5.0
5,NL_Nuclear,2030,true,2095.0,,0.0
6,NL_CCGT,2030,true,357.0,,7.0
7,NL_OCGT,2030,true,357.0,,5.0
8,NL_Battery,2030,false,100.0,,0.5928831435874599
9,BE_Solar,2030,true,18.0,,352.0
10,BE_Wind_Onshore,2030,true,49.0,,392.0
11,BE_Coal,2030,true,824.0,,3.0
12,BE_Nuclear,2030,true,2095.0,,0.0
13,BE_CCGT,2030,true,357.0,,4.0
14,BE_OCGT,2030,true,357.0,,4.0
15,BE_Battery,2030,false,100.0,,3.5575707945026807
16,DE_Solar,2030,true,18.0,,1908.0
17,DE_Wind_Offshore,2030,true,49.0,,0.0
18,DE_Coal,2030,true,824.0,,25.0
19,DE_Nuclear,2030,true,2095.0,,0.0
20,DE_CCGT,2030,true,357.0,,26.0
21,DE_OCGT,2030,true,357.0,,30.0
22,DE_Battery,2030,false,100.0,,8.161771079852333
23,FR_Wind_Onshore,2030,true,49.0,,2284.0
24,FR_Wind_Offshore,2030,true,49.0,,0.0
25,FR_Coal,2030,true,824.0,,7.0
26,FR_Nuclear,2030,true,2095.0,,0.0
27,FR_OCGT,2030,true,357.0,,6.0
28,FR_Battery,2030,false,100.0,,33.93538685187945
29,LU_Solar,2030,true,18.0,,36.0
30,LU_Wind_Onshore,2030,true,49.0,,37.0
31,LU_Wind_Offshore,2030,true,49.0,,0.0
32,LU_Coal,2030,true,824.0,,0.0
33,LU_Nuclear,2030,true,2095.0,,0.0
34,LU_CCGT,2030,true,357.0,,1.0
35,LU_OCGT,2030,true,357.0,,0.0
36,LU_Battery,2030,false,100.0,,0.9504408243279227
37,CH_Solar,2030,true,18.0,,347.0
38,CH_Wind_Onshore,2030,true,49.0,,244.0
39,CH_Wind_Offshore,2030,true,49.0,,0.0
40,CH_Coal,2030,true,824.0,,5.0
41,CH_Nuclear,2030,true,2095.0,,0.0
42,CH_OCGT,2030,true,357.0,,5.0
43,UK_Solar,2030,true,18.0,,0.0
44,UK_Coal,2030,true,824.0,,0.0
45,UK_Nuclear,2030,true,2095.0,,0.0
46,UK_CCGT,2030,true,357.0,,23.0
47,UK_OCGT,2030,true,357.0,,12.0
48,UK_Battery,2030,false,100.0,,21.35080104376466
49,DK_Solar,2030,true,18.0,,178.0
50,DK_Coal,2030,true,824.0,,1.0
51,DK_Nuclear,2030,true,2095.0,,0.0
52,DK_OCGT,2030,true,357.0,,1.0
53,DK_Battery,2030,false,100.0,,0.3506927396530591
54,NO_Solar,2030,true,18.0,,0.0
55,NO_Wind_Onshore,2030,true,49.0,,733.0
56,NO_Wind_Offshore,2030,true,49.0,,0.0
57,NO_Nuclear,2030,true,2095.0,,0.0
58,NO_CCGT,2030,true,357.0,,9.0
59,NO_OCGT,2030,true,357.0,,2.0
60,NO_Battery,2030,false,100.0,,3.16233894514904
61,IE_Wind_Offshore,2030,true,49.0,,0.0
62,IE_Coal,2030,true,824.0,,0.0
63,IE_Nuclear,2030,true,2095.0,,0.0
