region;EU_objective_value;region_total_cost;region_operational_cost
NL;6.305284911901996e7;2.223061730191909e6;402649.9551144278
BE;6.305284911901996e7;1.6087445396933667e6;262980.3522296078
DE;6.305284911901996e7;1.0101150758069947e7;2.0653037901144389e6
FR;6.305284911901996e7;7.779666627169984e6;909742.496527314
LU;6.305284911901996e7;144176.85719760138;24890.90956184682
CH;6.305284911901996e7;1.5849627818175745e6;487896.5396106072
UK;6.305284911901996e7;4.617412508204142e6;505074.75360339833
DK;6.305284911901996e7;849987.0681667774;114600.6219011711
NO;6.305284911901996e7;2.027830657130603e6;159997.5355261946
IE;6.305284911901996e7;479299.6182506914;41349.48264524102
SE;6.305284911901996e7;2.7004467886688136e6;422291.5288966918
AT;6.305284911901996e7;1.628858486000839e6;301614.1573159254
CZ;6.305284911901996e7;1.261416923996499e6;243910.52235649177
PL;6.305284911901996e7;3.002162092576087e6;546362.4995174236
ES;6.305284911901996e7;5.872423596165881e6;1.1869501219061315e6
IT;6.305284911901996e7;8.293412629500499e6;2.9146062944112592e6
LT;6.305284911901996e7;177202.8579472523;49287.93064860296
FI;6.305284911901996e7;2.056870479663514e6;377038.3726908236
SI;6.305284911901996e7;277906.40835853503;87082.93205727036
HU;6.305284911901996e7;1.3465387906143581e6;327802.31240542425
SK;6.305284911901996e7;133559.73533730165;15147.180159786465
PT;6.305284911901996e7;1.2558819260906975e6;231033.70837133407
HR;6.305284911901996e7;311459.2606924398;94325.19678423139
RO;6.305284911901996e7;1.0999021230096438e6;205411.2960597468
GR;6.305284911901996e7;982186.4885464577;222716.58497774566
LV;6.305284911901996e7;107691.80992758664;29547.341525386008
EE;6.305284911901996e7;123870.9320515116;15328.283634080886
MT;6.305284911901996e7;80804.91715225438;49947.19377539619
CY;6.305284911901996e7;161246.23561236542;66401.7911807742
BG;6.305284911901996e7;762713.4912148252;175780.92739536366
EU-Non-NL;6.305284911901996e7;6.0829787388828225e7;1.2134422657789879e7
