id,asset,year,rep_period,time_block_start,time_block_end,solution
1,AT_Battery,2030,1,1,1,0.0
2,AT_Battery,2030,1,2,2,0.0
3,AT_Battery,2030,1,3,3,93.72711896357487
4,AT_Battery,2030,1,4,4,432.7887780399533
5,AT_Battery,2030,1,5,5,457.95965820893616
6,AT_Battery,2030,1,6,6,378.26406542431323
7,AT_Battery,2030,1,7,7,110.74535845080482
8,AT_Battery,2030,1,8,8,63.28360084812448
9,AT_Battery,2030,1,9,9,63.28360084812448
10,AT_Battery,2030,1,10,10,173.57381599832843
11,AT_Battery,2030,1,11,11,274.54855151474294
12,AT_Battery,2030,1,12,12,34.9197778157195
13,AT_Battery,2030,1,13,13,0.0
14,AT_Battery,2030,1,14,14,227.6499397174939
15,AT_Battery,2030,1,15,15,457.95965820893616
16,AT_Battery,2030,1,16,16,423.6272356617101
17,AT_Battery,2030,1,17,17,457.95965820893616
18,AT_Battery,2030,1,18,18,390.6088261593595
19,AT_Battery,2030,1,19,19,51.577679306908976
20,AT_Battery,2030,1,20,20,0.0
21,AT_Battery,2030,1,21,21,0.0
22,AT_Battery,2030,1,22,22,0.0
23,AT_Battery,2030,1,23,23,0.0
24,AT_Battery,2030,1,24,24,0.0
25,AT_Battery,2030,2,1,1,0.0
26,AT_Battery,2030,2,2,2,0.0
27,AT_Battery,2030,2,3,3,0.0
28,AT_Battery,2030,2,4,4,0.0
29,AT_Battery,2030,2,5,5,0.0
30,AT_Battery,2030,2,6,6,0.0
31,AT_Battery,2030,2,7,7,0.0
32,AT_Battery,2030,2,8,8,0.0
33,AT_Battery,2030,2,9,9,0.0
34,AT_Battery,2030,2,10,10,0.0
35,AT_Battery,2030,2,11,11,0.0
36,AT_Battery,2030,2,12,12,0.0
37,AT_Battery,2030,2,13,13,0.0
38,AT_Battery,2030,2,14,14,0.0
39,AT_Battery,2030,2,15,15,0.0
40,AT_Battery,2030,2,16,16,0.0
41,AT_Battery,2030,2,17,17,0.0
42,AT_Battery,2030,2,18,18,0.0
43,AT_Battery,2030,2,19,19,0.0
44,AT_Battery,2030,2,20,20,0.0
45,AT_Battery,2030,2,21,21,0.0
46,AT_Battery,2030,2,22,22,0.0
47,AT_Battery,2030,2,23,23,0.0
48,AT_Battery,2030,2,24,24,0.0
49,AT_Battery,2030,3,1,1,5.915282458997353
50,AT_Battery,2030,3,2,2,210.4578314080345
51,AT_Battery,2030,3,3,3,151.59878546748314
52,AT_Battery,2030,3,4,4,0.0
53,AT_Battery,2030,3,5,5,135.04264640906877
54,AT_Battery,2030,3,6,6,457.95965820893616
55,AT_Battery,2030,3,7,7,137.8874359802794
56,AT_Battery,2030,3,8,8,0.0
57,AT_Battery,2030,3,9,9,0.0
58,AT_Battery,2030,3,10,10,0.0
59,AT_Battery,2030,3,11,11,71.9107241369984
60,AT_Battery,2030,3,12,12,45.711465933582076
61,AT_Battery,2030,3,13,13,0.0
62,AT_Battery,2030,3,14,14,0.0
63,AT_Battery,2030,3,15,15,118.89799913255774
64,AT_Battery,2030,3,16,16,457.95965820893616
65,AT_Battery,2030,3,17,17,450.72912798010475
66,AT_Battery,2030,3,18,18,111.66746890372633
67,AT_Battery,2030,3,19,19,0.0
68,AT_Battery,2030,3,20,20,0.0
69,AT_Battery,2030,3,21,21,0.0
70,AT_Battery,2030,3,22,22,219.45745168617395
71,AT_Battery,2030,3,23,23,225.16832907251774
72,AT_Battery,2030,3,24,24,0.0
73,AT_Battery,2030,4,1,1,0.0
74,AT_Battery,2030,4,2,2,0.0
75,AT_Battery,2030,4,3,3,0.0
76,AT_Battery,2030,4,4,4,0.0
77,AT_Battery,2030,4,5,5,148.67898209776104
78,AT_Battery,2030,4,6,6,457.95965820893616
79,AT_Battery,2030,4,7,7,447.3284155827587
80,AT_Battery,2030,4,8,8,447.3284155827587
81,AT_Battery,2030,4,9,9,447.3284155827587
82,AT_Battery,2030,4,10,10,318.1899947221823
83,AT_Battery,2030,4,11,11,0.0
84,AT_Battery,2030,4,12,12,0.0
85,AT_Battery,2030,4,13,13,0.0
86,AT_Battery,2030,4,14,14,118.89799913255774
87,AT_Battery,2030,4,15,15,118.89799913255774
88,AT_Battery,2030,4,16,16,457.95965820893616
89,AT_Battery,2030,4,17,17,399.7697318735427
90,AT_Battery,2030,4,18,18,101.10507215601865
91,AT_Battery,2030,4,19,19,0.0
92,AT_Battery,2030,4,20,20,0.0
93,AT_Battery,2030,4,21,21,0.0
94,AT_Battery,2030,4,22,22,47.31313602926093
95,AT_Battery,2030,4,23,23,202.037407163436
96,AT_Battery,2030,4,24,24,0.0
97,AT_Battery,2030,5,1,1,0.0
98,AT_Battery,2030,5,2,2,0.0
99,AT_Battery,2030,5,3,3,0.0
100,AT_Battery,2030,5,4,4,0.0
101,AT_Battery,2030,5,5,5,0.0
102,AT_Battery,2030,5,6,6,0.0
103,AT_Battery,2030,5,7,7,0.0
104,AT_Battery,2030,5,8,8,0.0
105,AT_Battery,2030,5,9,9,0.0
106,AT_Battery,2030,5,10,10,0.0
107,AT_Battery,2030,5,11,11,0.0
108,AT_Battery,2030,5,12,12,0.0
109,AT_Battery,2030,5,13,13,0.0
110,AT_Battery,2030,5,14,14,0.0
111,AT_Battery,2030,5,15,15,252.33641661491856
112,AT_Battery,2030,5,16,16,457.95965820893616
113,AT_Battery,2030,5,17,17,369.607275844608
114,AT_Battery,2030,5,18,18,69.1264009863462
115,AT_Battery,2030,5,19,19,27.2917364982859
116,AT_Battery,2030,5,20,20,0.0
117,AT_Battery,2030,5,21,21,0.0
118,AT_Battery,2030,5,22,22,0.0
119,AT_Battery,2030,5,23,23,0.0
120,AT_Battery,2030,5,24,24,0.0
121,AT_Battery,2030,6,1,1,0.0
122,AT_Battery,2030,6,2,2,0.0
123,AT_Battery,2030,6,3,3,0.0
124,AT_Battery,2030,6,4,4,0.0
125,AT_Battery,2030,6,5,5,0.0
