region;EU_objective_value;region_total_cost;region_operational_cost
NL;6.282258097538743e7;2.2117231862660553e6;396953.050912816
BE;6.282258097538743e7;1.6031109505662632e6;260358.9232717637
DE;6.282258097538743e7;1.0085841737381347e7;2.079765763549562e6
FR;6.282258097538743e7;7.73063482333189e6;861905.7266416928
LU;6.282258097538743e7;144595.16079327188;24112.742543208857
CH;6.282258097538743e7;1.576280152122364e6;488730.5442929994
UK;6.282258097538743e7;4.592854867535272e6;461014.0977338124
DK;6.282258097538743e7;848196.4923338467;112548.7282705176
NO;6.282258097538743e7;2.025322051633958e6;149287.09654763917
IE;6.282258097538743e7;476885.1463395153;43667.40472606013
SE;6.282258097538743e7;2.6924273135495707e6;426069.50963133044
AT;6.282258097538743e7;1.6244611244018732e6;309992.8020498969
CZ;6.282258097538743e7;1.2603473003489883e6;242589.3430071583
PL;6.282258097538743e7;2.987438507605227e6;549689.2391041595
ES;6.282258097538743e7;5.860330785440079e6;1.174179439570292e6
IT;6.282258097538743e7;8.250553133396651e6;2.9346968723302353e6
LT;6.282258097538743e7;177059.45398921976;49079.74966823302
FI;6.282258097538743e7;2.051397657716513e6;394898.44507007714
SI;6.282258097538743e7;277762.9905250499;89211.58320987126
HU;6.282258097538743e7;1.3423807903544065e6;331781.555442057
SK;6.282258097538743e7;133476.55402827775;15587.236398302573
PT;6.282258097538743e7;1.251951156793321e6;228542.09091457695
HR;6.282258097538743e7;310438.6801432908;97070.50986336307
RO;6.282258097538743e7;1.093921199431985e6;220303.85493919606
GR;6.282258097538743e7;980414.1837319299;220459.00104951792
LV;6.282258097538743e7;107707.22356184789;30275.193774502615
EE;6.282258097538743e7;123882.71189288923;16736.918427123084
MT;6.282258097538743e7;80950.84344220394;48323.768671637445
CY;6.282258097538743e7;160992.21645300035;66720.61003523698
BG;6.282258097538743e7;759242.5802773401;155561.82741423298
EU-Non-NL;6.282258097538743e7;6.061085778912132e7;1.2083160578148197e7
