id,from_asset,to_asset,year,rep_period,efficiency,flow_coefficient_in_capacity_constraint,time_block_start,time_block_end,solution
1,NL_Balance,NL_E_Demand,2030,1,1.0,1.0,1,4,11121.59309821708
2,NL_Balance,NL_E_Demand,2030,1,1.0,1.0,5,8,12247.592980284071
3,NL_Balance,NL_E_Demand,2030,1,1.0,1.0,9,12,13315.149567645669
4,NL_Balance,NL_E_Demand,2030,1,1.0,1.0,13,16,13812.289885930491
5,NL_Balance,NL_E_Demand,2030,1,1.0,1.0,17,20,13379.170649277312
6,NL_Balance,NL_E_Demand,2030,1,1.0,1.0,21,24,11583.766555356691
7,NL_Wind_Onshore,NL_Balance,2030,1,1.0,1.0,1,4,8891.41106005019
8,NL_Wind_Onshore,NL_Balance,2030,1,1.0,1.0,5,8,7903.396392965698
9,NL_Wind_Onshore,NL_Balance,2030,1,1.0,1.0,9,12,5035.4832139486125
10,NL_Wind_Onshore,NL_Balance,2030,1,1.0,1.0,13,16,5477.582936952659
11,NL_Wind_Onshore,NL_Balance,2030,1,1.0,1.0,17,20,7474.405947806461
12,NL_Wind_Onshore,NL_Balance,2030,1,1.0,1.0,21,24,10397.41045975054
13,NL_OCGT,NL_Balance,2030,1,1.0,1.0,1,4,0.0
14,NL_OCGT,NL_Balance,2030,1,1.0,1.0,5,8,0.0
15,NL_OCGT,NL_Balance,2030,1,1.0,1.0,9,12,0.0
16,NL_OCGT,NL_Balance,2030,1,1.0,1.0,13,16,0.0
17,NL_OCGT,NL_Balance,2030,1,1.0,1.0,17,20,0.0
18,NL_OCGT,NL_Balance,2030,1,1.0,1.0,21,24,0.0
19,NL_Battery,NL_Balance,2030,1,1.0,1.0,1,4,0.0
20,NL_Battery,NL_Balance,2030,1,1.0,1.0,5,8,0.0
21,NL_Battery,NL_Balance,2030,1,1.0,1.0,9,12,0.0
22,NL_Battery,NL_Balance,2030,1,1.0,1.0,13,16,0.5679901281791331
23,NL_Battery,NL_Balance,2030,1,1.0,1.0,17,20,0.0
24,NL_Battery,NL_Balance,2030,1,1.0,1.0,21,24,0.5679901281800293
25,NL_Balance,NL_Battery,2030,1,1.0,1.0,1,4,0.0
26,NL_Balance,NL_Battery,2030,1,1.0,1.0,5,8,0.5679901281791331
27,NL_Balance,NL_Battery,2030,1,1.0,1.0,9,12,0.0
28,NL_Balance,NL_Battery,2030,1,1.0,1.0,13,16,0.0
29,NL_Balance,NL_Battery,2030,1,1.0,1.0,17,20,0.0
30,NL_Balance,NL_Battery,2030,1,1.0,1.0,21,24,0.5679901281800293
31,BE_Wind_Offshore,BE_Balance,2030,1,1.0,1.0,1,4,0.0
32,BE_Wind_Offshore,BE_Balance,2030,1,1.0,1.0,5,8,0.0
33,BE_Wind_Offshore,BE_Balance,2030,1,1.0,1.0,9,12,0.0
34,BE_Wind_Offshore,BE_Balance,2030,1,1.0,1.0,13,16,0.0
35,BE_Wind_Offshore,BE_Balance,2030,1,1.0,1.0,17,20,0.0
36,BE_Wind_Offshore,BE_Balance,2030,1,1.0,1.0,21,24,0.0
37,BE_Coal,BE_Balance,2030,1,1.0,1.0,1,4,1053.9612504238175
38,BE_Coal,BE_Balance,2030,1,1.0,1.0,5,8,2225.934705498139
39,BE_Coal,BE_Balance,2030,1,1.0,1.0,9,12,2466.5779048685326
40,BE_Coal,BE_Balance,2030,1,1.0,1.0,13,16,1119.6837149400453
41,BE_Coal,BE_Balance,2030,1,1.0,1.0,17,20,2472.0
42,BE_Coal,BE_Balance,2030,1,1.0,1.0,21,24,1935.885879564796
43,BE_Nuclear,BE_Balance,2030,1,1.0,1.0,1,4,0.0
44,BE_Nuclear,BE_Balance,2030,1,1.0,1.0,5,8,0.0
45,BE_Nuclear,BE_Balance,2030,1,1.0,1.0,9,12,0.0
46,BE_Nuclear,BE_Balance,2030,1,1.0,1.0,13,16,0.0
47,BE_Nuclear,BE_Balance,2030,1,1.0,1.0,17,20,0.0
48,BE_Nuclear,BE_Balance,2030,1,1.0,1.0,21,24,0.0
49,BE_CCGT,BE_Balance,2030,1,1.0,1.0,1,4,0.0
50,BE_CCGT,BE_Balance,2030,1,1.0,1.0,5,8,0.0
51,BE_CCGT,BE_Balance,2030,1,1.0,1.0,9,12,160.65
52,BE_CCGT,BE_Balance,2030,1,1.0,1.0,13,16,0.0
53,BE_CCGT,BE_Balance,2030,1,1.0,1.0,17,20,305.79034211877456
54,BE_CCGT,BE_Balance,2030,1,1.0,1.0,21,24,0.0
55,DE_Solar,DE_Balance,2030,1,1.0,1.0,1,4,0.0
56,DE_Solar,DE_Balance,2030,1,1.0,1.0,5,8,1453.4574769108854
57,DE_Solar,DE_Balance,2030,1,1.0,1.0,9,12,13647.064093969582
58,DE_Solar,DE_Balance,2030,1,1.0,1.0,13,16,16208.7278020723
59,DE_Solar,DE_Balance,2030,1,1.0,1.0,17,20,5340.455987432095
60,DE_Solar,DE_Balance,2030,1,1.0,1.0,21,24,6.927022786244931
61,DE_Wind_Onshore,DE_Balance,2030,1,1.0,1.0,1,4,28870.147416148633
62,DE_Wind_Onshore,DE_Balance,2030,1,1.0,1.0,5,8,24733.086380626977
63,DE_Wind_Onshore,DE_Balance,2030,1,1.0,1.0,9,12,16057.508731977401
64,DE_Wind_Onshore,DE_Balance,2030,1,1.0,1.0,13,16,18737.05936262108
65,DE_Wind_Onshore,DE_Balance,2030,1,1.0,1.0,17,20,24524.460524268674
66,DE_Wind_Onshore,DE_Balance,2030,1,1.0,1.0,21,24,36132.58471136207
67,DE_Coal,DE_Balance,2030,1,1.0,1.0,1,4,11390.813775995215
68,DE_Coal,DE_Balance,2030,1,1.0,1.0,5,8,20600.0
69,DE_Coal,DE_Balance,2030,1,1.0,1.0,9,12,20600.0
70,DE_Coal,DE_Balance,2030,1,1.0,1.0,13,16,20357.621425946898
71,DE_Coal,DE_Balance,2030,1,1.0,1.0,17,20,20600.0
72,DE_Coal,DE_Balance,2030,1,1.0,1.0,21,24,5781.459051552925
73,DE_Nuclear,DE_Balance,2030,1,1.0,1.0,1,4,0.0
74,DE_Nuclear,DE_Balance,2030,1,1.0,1.0,5,8,0.0
75,DE_Nuclear,DE_Balance,2030,1,1.0,1.0,9,12,0.0
76,DE_Nuclear,DE_Balance,2030,1,1.0,1.0,13,16,0.0
77,DE_Nuclear,DE_Balance,2030,1,1.0,1.0,17,20,0.0
78,DE_Nuclear,DE_Balance,2030,1,1.0,1.0,21,24,0.0
