id,from_asset,to_asset,year,rep_period,time_block_start,time_block_end,var_flow_id,dual_max_transport_flow_limit_simple_method,dual_min_transport_flow_limit_simple_method
1,NL_Balance,BE_Balance,2030,1,1,1,2189,0.0,-0.0
2,NL_Balance,BE_Balance,2030,1,2,2,2190,0.0,-0.0
3,NL_Balance,BE_Balance,2030,1,3,3,2191,0.0,-0.0
4,NL_Balance,BE_Balance,2030,1,4,4,2192,0.0,-0.0
5,NL_Balance,BE_Balance,2030,1,5,5,2193,0.0,-0.0
6,NL_Balance,BE_Balance,2030,1,6,6,2194,0.0,-0.0
7,NL_Balance,BE_Balance,2030,1,7,7,2195,0.0,-0.0
8,NL_Balance,BE_Balance,2030,1,8,8,2196,0.0,-0.0
9,NL_Balance,BE_Balance,2030,1,9,9,2197,0.0,-0.0
10,NL_Balance,BE_Balance,2030,1,10,10,2198,0.0,-0.0
11,NL_Balance,BE_Balance,2030,1,11,11,2199,0.0,-0.0
12,NL_Balance,BE_Balance,2030,1,12,12,2200,0.0,-0.0
13,NL_Balance,BE_Balance,2030,1,13,13,2201,0.0,0.8109000000000001
14,NL_Balance,BE_Balance,2030,1,14,14,2202,0.0,0.8109000000000001
15,NL_Balance,BE_Balance,2030,1,15,15,2203,0.0,0.8109000000000001
16,NL_Balance,BE_Balance,2030,1,16,16,2204,0.0,0.8109000000000001
17,NL_Balance,BE_Balance,2030,1,17,17,2205,0.0,-0.0
18,NL_Balance,BE_Balance,2030,1,18,18,2206,0.0,-0.0
19,NL_Balance,BE_Balance,2030,1,19,19,2207,0.0,-0.0
20,NL_Balance,BE_Balance,2030,1,20,20,2208,-0.8109000000000001,0.0
21,NL_Balance,BE_Balance,2030,1,21,21,2209,-0.8109000000000001,0.0
22,NL_Balance,BE_Balance,2030,1,22,22,2210,0.0,-0.0
23,NL_Balance,BE_Balance,2030,1,23,23,2211,0.0,-0.0
24,NL_Balance,BE_Balance,2030,1,24,24,2212,-0.9381,0.0
25,NL_Balance,DK_Balance,2030,1,1,1,2213,0.0,0.9381
26,NL_Balance,DK_Balance,2030,1,2,2,2214,0.0,0.9381
27,NL_Balance,DK_Balance,2030,1,3,3,2215,0.0,0.9381
28,NL_Balance,DK_Balance,2030,1,4,4,2216,-0.9381,0.0
29,NL_Balance,DK_Balance,2030,1,5,5,2217,-0.8109000000000001,0.0
30,NL_Balance,DK_Balance,2030,1,6,6,2218,-0.8109000000000001,0.0
31,NL_Balance,DK_Balance,2030,1,7,7,2219,0.0,-0.0
32,NL_Balance,DK_Balance,2030,1,8,8,2220,0.0,-0.0
33,NL_Balance,DK_Balance,2030,1,9,9,2221,0.0,-0.0
34,NL_Balance,DK_Balance,2030,1,10,10,2222,0.0,-0.0
35,NL_Balance,DK_Balance,2030,1,11,11,2223,0.0,-0.0
