region;EU_objective_value;region_total_cost;region_operational_cost
NL;6.270798616698501e7;2.222716589701363e6;397256.9203375339
BE;6.270798616698501e7;1.608323567681624e6;263777.7817874864
DE;6.270798616698501e7;1.0099699695780518e7;2.052712824220876e6
FR;6.270798616698501e7;7.73063482333189e6;861905.7266416928
LU;6.270798616698501e7;144615.94113774013;23963.380465300725
CH;6.270798616698501e7;1.5762801521223634e6;488730.544292999
UK;6.270798616698501e7;4.615871797760401e6;498430.98524219345
DK;6.270798616698501e7;849430.8446502746;113739.11480565016
NO;6.270798616698501e7;2.0276489697089556e6;159815.84810454716
IE;6.270798616698501e7;476885.1463395153;43667.40472606012
SE;6.270798616698501e7;2.6924273135495707e6;426069.50963133055
AT;6.270798616698501e7;1.624461124401883e6;309992.80204990675
CZ;6.270798616698501e7;1.259998701105483e6;243412.4852336571
PL;6.270798616698501e7;2.987438507605227e6;549689.2391041595
ES;6.270798616698501e7;5.856711972305509e6;1.1621156324431119e6
IT;6.270798616698501e7;8.19951430267432e6;2.8681131786790374e6
LT;6.270798616698501e7;177219.06099783888;49346.41665771465
FI;6.270798616698501e7;2.044992962869533e6;374401.03532281576
SI;6.270798616698501e7;276138.9318573001;80542.31920300062
HU;6.270798616698501e7;1.3430132907301155e6;319566.353306425
SK;6.270798616698501e7;134169.32147365052;16026.270234060568
PT;6.270798616698501e7;1.2278410739478406e6;209424.48243577091
HR;6.270798616698501e7;309505.7279293906;100035.1922886423
RO;6.270798616698501e7;1.0827310959081543e6;217463.204957252
GR;6.270798616698501e7;975342.1060796255;222052.06578275285
LV;6.270798616698501e7;108008.69873164284;30863.46595032014
EE;6.270798616698501e7;123367.95787167961;16856.368173922234
MT;6.270798616698501e7;79030.11860835868;46985.134055274306
CY;6.270798616698501e7;160752.27993317766;67708.20452644958
BG;6.270798616698501e7;693214.0901900586;137022.22977340606
EU-Non-NL;6.270798616698501e7;6.048526957728366e7;1.195442920009584e7
