region;EU_objective_value;region_total_cost;region_operational_cost
NL;6.2713685161986135e7;2.22347784523195e6;396514.6694579233
BE;6.2713685161986135e7;1.6087485712206825e6;262984.38375692343
DE;6.2713685161986135e7;1.0101154456341384e7;2.0636591176893308e6
FR;6.2713685161986135e7;7.730708693845663e6;872022.4330901466
LU;6.2713685161986135e7;144595.16080758433;24112.74255252149
CH;6.2713685161986135e7;1.5762801521223637e6;488730.5442929992
UK;6.2713685161986135e7;4.617412508204142e6;505074.7536033983
DK;6.2713685161986135e7;850797.2547643825;110276.46643758824
NO;6.2713685161986135e7;2.0278306571305972e6;159997.53552619377
IE;6.2713685161986135e7;476885.1463395153;43667.40472606013
SE;6.2713685161986135e7;2.6924302242155024e6;426072.4202972623
AT;6.2713685161986135e7;1.624461124401883e6;309992.8020499067
CZ;6.2713685161986135e7;1.2600896708579308e6;243495.4361591453
PL;6.2713685161986135e7;2.987438507605227e6;549689.2391041595
ES;6.2713685161986135e7;5.85671197230551e6;1.162115632443112e6
IT;6.2713685161986135e7;8.19951430267432e6;2.8681131786790374e6
LT;6.2713685161986135e7;177219.06139172483;49346.419185354345
FI;6.2713685161986135e7;2.044992962869533e6;374401.03532281576
SI;6.2713685161986135e7;276138.9318573001;80542.31920300062
HU;6.2713685161986135e7;1.3430132907301155e6;319566.353306425
SK;6.2713685161986135e7;134169.32147365052;16026.270234060568
PT;6.2713685161986135e7;1.2278410739478406e6;209424.48243577091
HR;6.2713685161986135e7;309505.7279288362;100035.19228808787
RO;6.2713685161986135e7;1.0827310959081543e6;217463.204957252
GR;6.2713685161986135e7;975342.1060796255;222052.06578275285
LV;6.2713685161986135e7;107830.89512743618;30708.753133801838
EE;6.2713685161986135e7;123367.95787167961;16856.368173922234
MT;6.2713685161986135e7;79030.11860835868;46985.134055274306
CY;6.2713685161986135e7;160752.27993317766;67708.20452644958
BG;6.2713685161986135e7;693214.0901900586;137022.22977340606
EU-Non-NL;6.2713685161986135e7;6.049020731675419e7;1.1978142122786183e7
